timestamp,bpm
2025-05-28T14:44:02.425311,69.7
2025-05-28T14:44:02.485476,67.2
2025-05-28T14:44:02.491223,67.2
2025-05-28T14:44:02.498687,67.2
2025-05-28T14:44:02.504762,67.2
2025-05-28T14:44:02.510958,42.8
2025-05-28T14:44:02.539165,64.0
2025-05-28T14:44:02.545318,57.6
2025-05-28T14:44:02.549234,57.6
2025-05-28T14:44:02.553305,57.5
2025-05-28T14:44:02.556929,57.5
2025-05-28T14:44:02.562349,57.4
2025-05-28T14:44:02.591243,57.4
2025-05-28T14:44:02.597770,63.7
2025-05-28T14:44:02.602969,57.4
2025-05-28T14:44:02.607664,63.7
2025-05-28T14:44:02.612106,63.8
2025-05-28T14:44:02.653998,76.5
2025-05-28T14:44:02.659992,70.2
2025-05-28T14:44:02.664299,70.2
2025-05-28T14:44:02.669358,63.8
2025-05-28T14:44:02.673599,57.4
2025-05-28T14:44:02.678467,57.4
2025-05-28T14:44:02.711685,57.4
2025-05-28T14:44:02.718135,57.4
2025-05-28T14:44:02.724049,57.4
2025-05-28T14:44:02.728147,57.4
2025-05-28T14:44:02.732918,63.8
2025-05-28T14:44:02.737031,57.4
2025-05-28T14:44:02.760403,57.4
2025-05-28T14:44:02.767073,59.3
2025-05-28T14:44:02.771575,57.4
2025-05-28T14:44:02.777584,59.3
2025-05-28T14:44:02.791029,59.3
2025-05-28T14:44:02.807123,56.6
2025-05-28T14:44:02.819077,56.6
2025-05-28T14:44:02.830231,56.5
2025-05-28T14:44:02.842158,56.5
2025-05-28T14:44:02.851767,58.4
2025-05-28T14:44:02.866327,58.4
2025-05-28T14:44:02.876557,58.4
2025-05-28T14:44:02.886432,58.4
2025-05-28T14:44:02.895542,56.6
2025-05-28T14:44:02.905530,57.4
2025-05-28T14:44:02.914107,57.4
2025-05-28T14:44:02.922772,57.4
2025-05-28T14:44:02.931496,57.4
2025-05-28T14:44:02.941808,57.4
2025-05-28T14:44:02.950693,57.4
2025-05-28T14:44:02.961429,57.4
2025-05-28T14:44:02.971676,57.4
2025-05-28T14:44:02.980564,63.7
2025-05-28T14:44:02.990864,70.1
2025-05-28T14:44:03.000119,70.1
2025-05-28T14:44:03.010538,72.5
2025-05-28T14:44:03.019498,63.8
2025-05-28T14:44:03.027972,64.8
2025-05-28T14:44:03.037656,58.4
2025-05-28T14:44:03.046654,58.4
2025-05-28T14:44:03.072880,58.4
2025-05-28T14:44:03.082943,58.4
2025-05-28T14:44:03.092214,58.4
2025-05-28T14:44:03.101612,58.4
2025-05-28T14:44:03.110302,58.4
2025-05-28T14:44:03.119983,61.3
2025-05-28T14:44:03.137588,61.3
2025-05-28T14:44:03.148688,58.4
2025-05-28T14:44:03.157651,58.4
2025-05-28T14:44:03.166377,58.4
2025-05-28T14:44:03.175011,61.0
2025-05-28T14:44:03.184598,58.4
2025-05-28T14:44:03.195018,58.4
2025-05-28T14:44:03.204725,65.9
2025-05-28T14:44:03.213963,72.5
2025-05-28T14:44:03.222407,72.5
2025-05-28T14:44:03.232043,72.5
2025-05-28T14:44:03.241434,67.8
2025-05-28T14:44:03.251083,65.9
2025-05-28T14:44:03.269734,65.8
2025-05-28T14:44:03.280647,65.8
2025-05-28T14:44:03.289602,65.8
2025-05-28T14:44:03.298000,65.8
2025-05-28T14:44:03.308281,65.8
2025-05-28T14:44:03.317662,67.6
2025-05-28T14:44:03.333287,72.5
2025-05-28T14:44:03.343765,62.8
2025-05-28T14:44:03.353800,55.8
2025-05-28T14:44:03.362888,55.8
2025-05-28T14:44:03.372632,55.8
2025-05-28T14:44:03.381008,60.3
2025-05-28T14:44:03.389429,57.5
2025-05-28T14:44:03.398340,55.8
2025-05-28T14:44:03.407187,55.8
2025-05-28T14:44:03.415880,55.8
2025-05-28T14:44:03.426106,55.8
2025-05-28T14:44:03.436172,55.8
2025-05-28T14:44:03.449190,55.8
2025-05-28T14:44:03.457224,57.2
2025-05-28T14:44:03.467545,55.8
2025-05-28T14:44:03.476899,55.8
2025-05-28T14:44:03.486039,55.8
2025-05-28T14:44:03.494420,55.8
2025-05-28T14:44:03.504122,55.8
2025-05-28T14:44:03.513697,55.8
2025-05-28T14:44:03.523825,63.0
2025-05-28T14:44:03.532931,69.7
2025-05-28T14:44:03.542300,65.0
2025-05-28T14:44:03.552449,65.0
2025-05-28T14:44:03.562817,68.5
2025-05-28T14:44:03.573270,61.7
2025-05-28T14:44:03.581660,61.6
2025-05-28T14:44:03.589699,69.7
2025-05-28T14:44:03.599505,58.0
2025-05-28T14:44:03.608263,58.0
2025-05-28T14:44:03.622942,58.0
2025-05-28T14:44:03.633082,56.2
2025-05-28T14:44:03.643068,58.5
2025-05-28T14:44:03.652607,58.5
2025-05-28T14:44:03.661180,62.0
2025-05-28T14:44:03.670994,58.5
2025-05-28T14:44:03.686400,58.5
2025-05-28T14:44:03.696786,58.5
2025-05-28T14:44:03.705765,58.5
2025-05-28T14:44:03.714375,58.5
2025-05-28T14:44:03.724720,55.8
2025-05-28T14:44:03.733298,55.5
2025-05-28T14:44:03.770691,55.8
2025-05-28T14:44:03.782024,58.5
2025-05-28T14:44:03.790827,55.8
2025-05-28T14:44:03.801488,55.7
2025-05-28T14:44:03.811065,55.7
2025-05-28T14:44:03.820105,55.7
2025-05-28T14:44:03.829438,55.0
2025-05-28T14:44:03.838896,55.0
